geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
FOXH1	23.2411	33.2132	30.6627	31.8985	76.1902	31.2079	60.1425	18.4444	23.8348	16.0321	30.1536	8.93369	69.381	72.8891	36.2716	50.7271	47.329	46.8537	51.9505	105.531	79.0668
FOXI1	31.9144	29.7561	67.4533	100.017	86.4014	88.2929	32.3467	13.6347	13.1119	13.1025	11.5566	17.489	25.4119	56.939	14.9069	57.8946	88.909	9.17419	10.3465	29.6424	69.2405
FOXJ1	24.9756	93.5955	49.4939	33.0122	51.3416	35.0711	26.5069	14.9587	52.2241	34.3322	71.1724	43.5101	44.6115	29.6441	15.3696	100.618	18.7989	45.7905	43.295	125.613	36.9173
FOXJ2	786.511	768.399	735.762	609.569	808.763	1130.94	872.019	728.902	971.603	961.084	931.484	980.282	776.22	919.675	798.571	1057.78	619.988	998.271	1001.79	904.207	846.44
FOXJ3	535.3185	709.3843	675.78025	643.3015	611.68875	688.10065	543.6274	646.6657	733.43535	459.1477	607.90835	493.1775	596.09945	787.6572	582.23045	402.2595	620.61	489.765	595.6649	577.123	466.8835
FOXK2	507.05	241.359	362.163	578.023	535.137	437.635	469.714	560.721	400.75	448.337	521.755	391.935	470.899	466.755	382.565	294.184	533.897	507.624	429.693	407.848	440.092
FOXL1	6.77918	11.3661	6.10156	8.52582	12.151	3.29479	6.64173	9.42478	5.45657	11.0889	8.42778	8.48525	9.91414	3.32399	6.70881	17.9021	4.97696	9.7562	10.6258	8.56061	11.7266
FOXL2	34.133	41.5487	26.597	57.8455	12.119	38.3019	44.708	49.7844	23.1908	35.8606	32.8825	22.1497	68.8706	82.0304	58.2551	55.1616	49.4641	25.6547	49.5905	68.3476	62.9389
FOXM1	94.2854	115.844	18.738	13.4464	199.5	19.1965	235.116	188.779	78.6926	145.486	55.4579	128.351	225.873	61.6255	71.7269	84.3036	23.4308	64.0744	32.8743	55.4539	169.471
FOXN1	12.8247	9.64019	7.46548	16.9775	12.6147	12.2755	15.6782	5.29945	7.7096	6.75636	11.7099	8.20511	11.596	10.7796	9.2013	11.1313	14.9076	11.7756	13.6064	7.45058	5.90966
